ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Event;Medal
54052;Hrachik Javakhyan;M;24.0;178.0;63.0;Armenia;ARM;2008 Summer;2008;Summer;Beijing;Boxing Men's Lightweight;Bronze
54130;Abdel Jebahi;M;25.0;180.0;60.0;France;FRA;2000 Summer;2000;Summer;Sydney;Boxing Men's Lightweight;
54176;Tony David Jeffries (Bryce-);M;23.0;188.0;81.0;Great Britain;GBR;2008 Summer;2008;Summer;Beijing;Boxing Men's Light-Heavyweight;Bronze
54644;Joseph Hilongwa Jermia;M;22.0;165.0;48.0;Namibia;NAM;2004 Summer;2004;Summer;Athina;Boxing Men's Light-Flyweight;
54954;Jo Deok-Jin;M;25.0;178.0;75.0;South Korea;KOR;2008 Summer;2008;Summer;Beijing;Boxing Men's Middleweight;
54995;Jo Seok-Hwan;M;20.0;170.0;54.0;South Korea;KOR;2000 Summer;2000;Summer;Sydney;Boxing Men's Bantamweight;
54995;Jo Seok-Hwan;M;24.0;170.0;54.0;South Korea;KOR;2004 Summer;2004;Summer;Athina;Boxing Men's Featherweight;Bronze
55473;Toureano Dexter Johnson;M;24.0;163.0;69.0;Bahamas;BAH;2008 Summer;2008;Summer;Beijing;Boxing Men's Welterweight;
55483;Yudel Johnson Cedeno;M;23.0;158.0;64.0;Cuba;CUB;2004 Summer;2004;Summer;Athina;Boxing Men's Light-Welterweight;Silver
55592;Jonas Junias Jonas;M;22.0;181.0;64.0;Namibia;NAM;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Light-Welterweight;
55594;Natasha Paula Jonas;F;28.0;172.0;60.0;Great Britain;GBR;2012 Summer;2012;Summer;London;Boxing Women's Lightweight;
55784;Somjit Jongjohor;M;29.0;167.0;51.0;Thailand;THA;2004 Summer;2004;Summer;Athina;Boxing Men's Flyweight;
55784;Somjit Jongjohor;M;33.0;167.0;51.0;Thailand;THA;2008 Summer;2008;Summer;Beijing;Boxing Men's Flyweight;Gold
55982;Anthony Oluwafemi Olaseni Joshua;M;22.0;198.0;;Great Britain;GBR;2012 Summer;2012;Summer;London;Boxing Men's Super-Heavyweight;Gold
56014;Rim Jouini;F;31.0;170.0;;Tunisia;TUN;2012 Summer;2012;Summer;London;Boxing Women's Lightweight;
56070;David Oliver Joyce;M;29.0;171.0;60.0;Ireland;IRL;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Lightweight;
56073;"Joseph ""Joe"" Joyce";M;30.0;197.0;108.0;Great Britain;GBR;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Super-Heavyweight;Silver
56075;"John Joe ""Johnny"" Joyce";M;20.0;177.0;64.0;Ireland;IRL;2008 Summer;2008;Summer;Beijing;Boxing Men's Light-Welterweight;
56177;"Ricardo ""Rocky"" Jurez";M;20.0;178.0;57.0;United States;USA;2000 Summer;2000;Summer;Sydney;Boxing Men's Featherweight;Silver
56253;Louis Richard Bruno Julie;M;30.0;175.0;54.0;Mauritius;MRI;2008 Summer;2008;Summer;Beijing;Boxing Men's Bantamweight;Bronze
56254;Kitson Julie;M;21.0;179.0;64.0;Seychelles;SEY;2004 Summer;2004;Summer;Athina;Boxing Men's Light-Welterweight;
56263;Delvis Julio Blanco;M;28.0;190.0;91.0;Colombia;COL;2008 Summer;2008;Summer;Beijing;Boxing Men's Heavyweight;
56354;Bogdan Andrei Juratoni;M;22.0;177.0;;Romania;ROU;2012 Summer;2012;Summer;London;Boxing Men's Middleweight;
56553;Rafa Kaczor;M;26.0;166.0;51.0;Poland;POL;2008 Summer;2008;Summer;Beijing;Boxing Men's Flyweight;
56602;Taalaybek Kadyraliyev;M;32.0;168.0;51.0;Kyrgyzstan;KGZ;2000 Summer;2000;Summer;Sydney;Boxing Men's Bantamweight;
56763;Pawe Kakietek;M;25.0;184.0;74.0;Poland;POL;2000 Summer;2000;Summer;Sydney;Boxing Men's Middleweight;
56983;Norbert Kalucza;M;21.0;167.0;53.0;Hungary;HUN;2008 Summer;2008;Summer;Beijing;Boxing Men's Flyweight;
57122;Somluck Kamsing;M;27.0;171.0;57.0;Thailand;THA;2000 Summer;2000;Summer;Sydney;Boxing Men's Featherweight;
57122;Somluck Kamsing;M;31.0;171.0;57.0;Thailand;THA;2004 Summer;2004;Summer;Athina;Boxing Men's Featherweight;
57180;Justin Stewart Kane;M;18.0;165.0;54.0;Australia;AUS;2000 Summer;2000;Summer;Sydney;Boxing Men's Bantamweight;
57298;Kennedy Kanyanta;M;21.0;170.0;51.0;Zambia;ZAM;2000 Summer;2000;Summer;Sydney;Boxing Men's Flyweight;
57318;Marios Kaperonis;M;21.0;173.0;60.0;Greece;GRE;2004 Summer;2004;Summer;Athina;Boxing Men's Lightweight;
57427;Frat Karagll;M;22.0;179.0;71.0;Turkey;TUR;2000 Summer;2000;Summer;Sydney;Boxing Men's Light-Middleweight;
